name,type,no_brand,generic,synonyms,manufacturers,linked
Абрико,marketing,False,,,"ООО ""ПХП""","ооо ""пхп"""
"Август Тоепфер & Ко., Германия",manufacturer,False,,,"Август Тоепфер & Ко., Германия",4life
Аведовъ,marketing,False,,,"ООО ""Лабинский МЭЗ""","ооо ""лабинский мэз"""
Австралийский Торговый Дом,marketing,False,,атд,"ООО ""Компания ""Австралийский Торговый Дом"", Россия","ооо ""компания ""австралийский торговый дом"", россия"
Агама Роял Гринланд,marketing,False,,agama|агама|бухта изобилия,,"ооо ""агама роял гринланд"", россия"
Агроальянс,manufacturer,False,,агро-альянс,"АГРОАЛЬЯНС|Агроальянс|ООО ""Агро-Альянс""|ООО ""Агро-Альянс"", Россия|ООО""Агро-Альянс""","агроальянс|ооо ""агро-альянс"""
Агуша,marketing,False,,я сам,"ОАО ""Вимм-Билль-Данн""","оао ""вимм-билль-данн"""
Азбука Кухни,marketing,False,,,"ООО ""Солонь""|ООО ""Солонь"", Россия","ооо ""солонь"""
Айс Продукт,marketing,False,,от ильиной,,"ооо ""айс-продукт"""
Академия шоколада,marketing,False,,,"ОАО ""Оркла Брэндс Россия""","оао ""оркла брэндс россия"""
Акбар,marketing,False,,english classic|бернли,"ООО ""Яковлевская чаеразвесочная фабрика""","ооо ""яковлевская чаеразвесочная фабрика"""
Аква Минерале,marketing,False,,,"ООО ""ПепсиКо Холдингс""|ООО""ПепсиКо Холдингс""","ооо ""пепсико холдингс"""
Активиа,marketing,False,,активия,"АО ""ДАНОН РОССИЯ"", Россия|ООО ""Данон Индустрия""|ООО ""Данон Индустрия"", Россия","ао ""данон россия""|ао ""данон россия"", россия|ооо ""данон индустрия"""
Аладушкин,marketing,False,,,"ЗАО ""Охтинское""|ОАО ""Петербургский мельничный комбинат""|ОАО""Петербургский мельничный комбинат""","зао ""охтинское""|пао ""петербургский мельничный комбинат"""
Алексеевское,marketing,False,,алексеевская|алексеевские|коровка из кореновки,"ЗАО ""Алексеевский молочноконсервный комбинат""|ЗАО ""Кореновский  молочно-консервный комбинат""","зао ""алексеевский молочноконсервный комбинат""|зао ""кореновский  молочно-консервный комбинат"""
Аленка,marketing,False,,чудо-ягода,,
Алтайский букет,marketing,False,,,"ОАО ""Алтайский букет""","оао ""алтайский букет"""
Аль-Араби,marketing,False,,,"ООО КФ ""Надежда""","ооо кф ""надежда"""
Альмонди,marketing,False,,,Almondy AB,almondy ab
Альпийская коровка,marketing,False,,,"ЗАО ""Озерецкий молочный комбинат""","зао ""озерецкий молочный комбинат"""
Альтеро,marketing,False,,altero,ЭФКО,"оао ""эфко""|эфко"
Ароматы жизни,marketing,False,,,"ООО ""Аромавита""|ООО ""Аромавита"", Россия|ПЛАСТМАССА","ооо ""аромавита"", россия|пластмасса"
Архыз,manufacturer,False,,,"АРХЫЗ|Архыз|ЗАО ""Висма""","архыз|зао ""висма"""
Асто,marketing,False,,,"ООО ""АСТО""|ООО ""АСТО"", Россия","ооо ""асто"""
Астраханский,marketing,False,,,"ООО АРК ""Белуга""","ооо арк ""белуга"""
Б.Ю. Александров,marketing,False,,б ю александров|б.ю.александров,"ООО ""РостАгроКомплекс""",ооо «ростагрокомплекс»
БРПИ,marketing,False,,baskin robbins|баскин роббинс,,"зао ""брпи"""
БЫСТРОВ,marketing,False,,,,
Бабаевский,marketing,False,,рот фронт,"ОАО ""Кондитерский концерн Бабаевский""|ОАО ""Рот Фронт""","оао ""кондитерский концерн бабаевский""|оао ""рот фронт"""
Байкал,marketing,False,,,,
Байсад,manufacturer,False,,,"БАЙСАД|Байсад|ОАО ""Байсад - Кашира"", Россия","байсад|оао ""байсад - кашира"", россия"
Бакалея 101,marketing,False,,,"ОАО ""РУССКИЙ ПРОДУКТ""","оао ""русский продукт"""
Балтийский берег,marketing,False,,балт берег|бб|по-царски,"ЗАО ""Балтийский Берег""","зао ""балтийский берег"""
Балтимор,marketing,False,,,"ООО ""Юнилевер Русь""|ООО «Юнилевер Русь»",ооо «юнилевер русь»
Барко,marketing,False,,,"""V&K Pineapple Canning Co.""|""XIAMEN YIXINSHENG IMPORT & EXPORT CO., LTD""|""ZHANGZHOU LONGJIANG IMP. AND EXP. CORPORATION""|Linyi Qiwei Canned Foodstuff Co.|V&K Pineapple Canning Co.|ОАО ""Калининградский тарный комбинат""|ОАО ""Консервный завод ""Саранский""|ОАО ""Слонимский мясокомбинат""","""v&k pineapple canning co.""|""xiamen yixinsheng import & export co., ltd""|""zhangzhou longjiang imp. and exp. corporation""|linyi qiwei canned foodstuff co.|v&k pineapple canning co.|оао ""калининградский тарный комбинат""|оао ""консервный завод ""саранский""|оао ""слонимский мясокомбинат""|ооо ""барко"""
Бастион,marketing,False,,,,"ооо ""бастион"""
Башкирский мед,marketing,False,,,Государственное бюджетное учреждение Башкирский научно-исследовательский центр по пчеловодству и апитерапии.,государственное бюджетное учреждение башкирский научно-исследовательский центр по пчеловодству и апитерапии.
Белая Дача,manufacturer,False,,,Белая Дача,
Белебеевский,marketing,False,,,"ОАО ""Белебеевский ордена ""Знак Почета"" молочный комбинат""","оао ""белебеевский ордена ""знак почета"" молочный комбинат"""
Белебеевский МК,marketing,False,,белебей,,
Белевская пастила,marketing,False,,белевская,"ООО ""Белевская пастила""","ооо ""белевская пастила"""
Белорусский вкус,marketing,False,,мясной двор,,"ооо ""белорусский вкус"", россия"
Белёк,marketing,False,,,"Esco-european salt company GmbH & Co.|SOLNE MLYNY, a.s.|ООО ""Солонь""|ООО""Монарх""","esco-european salt company gmbh & co.|solne mlyny, a.s.|ооо ""солонь""|ооо""монарх"""
Беседа,marketing,False,,,,
Биг Ланч,marketing,False,,бигланч,"ООО ""ТПК ""БиоФуд""|ООО ТПК ""Биофуд""","ооо ""тпк ""биофуд""|ооо тпк ""биофуд"""
Бион,marketing,False,,,,
Биржевые сыры,marketing,False,,,,
Благо,marketing,False,,,"ООО""Компания Благо""","ооо""компания благо"""
Благода,marketing,False,,,"ООО ""Молочное дело - Ивня""","ооо ""молочное дело - ивня"""
Ближние горки,marketing,False,,,"ООО ТД ""Дмитрогорский продукт""","ооо тд ""дмитрогорский продукт"""
Большая кружка,marketing,False,,,"ОАО ""Молвест""|ООО ""ГАЛАКТИКА""|ООО ""Галактика""","оао ""молвест""|ооо ""галактика"""
Большая перемена,marketing,False,,,"ОАО ""МосМедыньфгропром""|ОАО""МосМедыньагропром""","оао ""мосмедыньфгропром""|оао""мосмедыньагропром"""
Большевик,marketing,False,,,"ООО ""Венский цех""|ООО ""Крафт Фудс Рус""|ООО ""Мон'дэлис Русь""","ооо ""венский цех""|ооо ""крафт фудс рус""|ооо ""мон'дэлис русь"""
Бон Пари,marketing,False,,,"ООО ""Нестле Россия""","ооо""нестле россия"""
Брауни,marketing,False,,,"ОАО ""Валуйкисахар "", Россия","оао ""валуйкисахар"""
Брест- Литовск,marketing,False,,брест-литовск|брест-литовский,"ОАО ""Савушкин продукт""","оао ""савушкин продукт"""
Бутер хлеб,marketing,False,,бутерхлеб|коломенский,"ЗАО БКК ""Коломенский""","зао бкк ""коломенский"""
Бушидо,marketing,False,,,"CAFEA-GROUP, Германия","cafea-group, германия"
ВБД J-7 Фрустайл,marketing,False,,j7,"ООО ""Лебедянский""","ооо ""лебедянский"""
ВЕЛКОМ,marketing,False,,велкомовская,"ОАО ""Мясокомбинат Клинский""|ООО ""Мясокомбинат ""Павловская Слобода""|ООО ""Мясокомбинат ""Павловская Слобода"", Россия|ООО ""Мясокомбинат ""Павловская слобода""","оао ""мясокомбинат клинский""|ооо ""мясокомбинат ""павловская слобода"""
ВИНА ТАМАНИ,marketing,False,,,"ООО ""Кубань-Вино""",
ВИРОБНИК,manufacturer,False,,,ВИРОБНИК,lavazza
ВСПЕНЕННЫЙ ПОЛИСТИРОЛ,manufacturer,False,,,ВСПЕНЕННЫЙ ПОЛИСТИРОЛ,роллтон
Валдайский консервный завод,manufacturer,False,,,Валдайский консервный завод,lutik
Валдайский погребок,marketing,False,,валдайские|валдайскй,"ЗАО ""Валдай""|ЗАО""Валдай""","зао ""валдай"""
Вдохновение,marketing,False,,бабабевский|бабаевский,"ОАО ""Кондитерский концерн Бабаевский""|ОАО ""Красный Октябрь""","оао ""кондитерский концерн бабаевский""|оао ""красный октябрь"""
Веселый молочник,marketing,False,,,"ОАО ""Вимм-Билль-Данн""|ОАО""Вимм-Билль-Данн""","оао ""вимм-билль-данн"""
Вестов,marketing,False,,,"ЗАО ""Санкт-Петербургский сахарный завод""|ЗАО ""Санкт-Петербургский сахарный завод"", Россия","зао ""санкт-петербургский сахарный завод"""
Вилла Гранде,marketing,False,,,,
Вилон,marketing,False,,вкусный суп|обожамс|сытоедов|чебуречье,"ООО ""ТПК ""ВИЛОН""|ООО ""Торгово-промышленная Компания ""Вилон""","ooo ""tpk ""vilon""|ооо ""торгово-промышленная компания ""вилон"""
Виталад,marketing,False,,,"ЗАО ""Пищеваой комбинат ""Линфас""","зао ""пищеваой комбинат ""линфас"""
Витамин,marketing,False,,vитамин,"ООО ""ТК ""Мираторг""","ооо ""тк ""мираторг"""
Вичюнай Русь,marketing,False,,vici|вичюнай-русь|любо есть,,"ооо ""вичюнай-русь"""
Вичюнай-Русь,marketing,False,,vici|любо есть,,"ооо ""вичюнай-русь"""
Вкусландия,marketing,False,,,"ООО ""АЙС-ФИЛИ""","ооо ""айс-фили"""
Вкуснотеево,marketing,False,,молвест,"ОАО ""Молвест""|ОАО Молочный комбинат ""Воронежский""|ООО фирма ""Малыш""","оао ""молвест""|оао молочный комбинат ""воронежский""|ооо фирма ""малыш"""
Вкусный Суп,marketing,False,,,"ООО ""Торгово- Промышленная Компания ""Вилон""","ооо ""торгово- промышленная компания ""вилон"""
Вкусный день,marketing,False,,,"ООО ""Комбинат детского питания""","ооо ""комбинат детского питания"""
Вкусный стандарт,marketing,False,,,"ООО ""Вкусный стандарт""","ооо ""вкусный стандарт"""
Воздушный,marketing,False,,,"ООО ""Крафт Фудз Рус""|ООО ""Мон'дэлис Русь""","ооо ""крафт фудз рус""|ооо ""мон'дэлис русь"""
Волжские,marketing,False,,,"ООО ""Волжский пекарь""","оао ""волжский пекарь"""
Волжский пекарь,marketing,False,,,"ОАО ""Волжский пекарь""","оао ""волжский пекарь"""
Вэлла,marketing,False,,,Bodegas Murviedro S. A.,
ГИАГИНСКИЙ молзавод,marketing,False,,гиагинский мз,"ОАО Молочный завод ""Гиагинский""","оао молочный завод ""гиагинский"""
ГРЭЙС,marketing,False,,грэйс!,,
"ГУП ""Немчиновка"" РАСХН",manufacturer,False,,,"ГУП ""Немчиновка"" РАСХН",
Гарнирио,marketing,False,,,"ООО ""Агро-инвест""","ооо ""агро-инвест"""
Гермен,marketing,False,,,"""Фуджиан Ориентлэнд Фудз Ко., лтд""","""фуджиан ориентлэнд фудз ко., лтд"""
Главпродукт,marketing,False,,,"ЗАО ""Верховский молочно-консервный завод""|ЗАО ""Орелпродукт""|ОАО РАПП ""КАВКАЗ-МЯСО""|ОАО РАПП ""Кавказ-Мясо""|ООО ""Астраханка""","зао ""верховский молочно-консервный завод""|зао ""орелпродукт""|оао рапп ""кавказ-мясо""|ооо ""астраханка"""
Горница,marketing,False,,,"ОАО""Петербургский мельничный комбинат""","пао ""петербургский мельничный комбинат"""
Город Сыра,marketing,False,,,"ООО ""НЕВСКИЕ СЫРЫ""|ООО ""Невские сыры""|ООО ""Невский сыры""","ооо ""невский сыры""|ооо «невские сыры»"
Господарь,marketing,False,,господаря,"ООО ""Кондитерский мир""","ооо ""кондитерский мир"""
Государственное бюджетное учреждение Башкирский научно-исследовательский центр по пчеловодству и апитерапии.,manufacturer,False,,,Государственное бюджетное учреждение Башкирский научно-исследовательский центр по пчеловодству и апитерапии.,башкирский мед
Гранум,marketing,False,,,"ООО ""КАРЕ""|ООО ""Каре"", Россия","ооо ""каре"""
Гродфуд,marketing,False,,,"СООО ""КВИНФУД""|СООО ""Квинфуд""","сооо ""квинфуд"""
Густав Паулиг Лтд.,manufacturer,False,,,Густав Паулиг Лтд.,paulig
Густияр,marketing,False,,,"ЗАО ""Алексеевский молочноконсервный комбинат""","зао ""алексеевский молочноконсервный комбинат"""
ДАНИЯ - ARLA FOODS AMBA,manufacturer,False,,,ДАНИЯ - ARLA FOODS AMBA,arla
ДОЯРУШКА,marketing,False,,,"ООО ""Митра+""","ооо ""митра+"""
ДЫМОВ,marketing,False,,,"ООО ""Дымовское колбасное производство""|ООО""Дымовское колбасное производство""","ооо""дымовское колбасное производство"""
ДЭНМАКС,marketing,False,,,"ООО ""ДЭНМАКС""","ооо ""дэнмакс"""
Даллмайер,marketing,False,,,"Alois Dallmayr Kaffee oHG, Германия","alois dallmayr kaffee ohg, германия"
Дальневосточная,marketing,False,,,"ООО ""БАЛТ-ОСТ""|ООО ""Холмский РКЗ №28""|ООО ""Штиль""","ооо ""балт-ост""|ооо ""холмский ркз №28""|ооо ""штиль"""
Дальний Восток,marketing,False,,,"ООО ""Каспий""","ооо ""каспий"""
Дальпико,marketing,False,,,"ЗАО ""Рыбокомбинат Донской""","зао ""рыбокомбинат донской"""
Дан Зуккер,marketing,False,,,"Nordic Sugar A.S., Дания","nordic sugar a.s., дания"
Даниссимо,marketing,False,,,"ООО ""Данон Индустрия""","ооо ""данон индустрия"""
Дары Кубани,marketing,False,,,"ООО""Компания Благо""","ооо""компания благо"""
Дары России,marketing,False,,,"ООО ""Южный продукт""","ооо ""южный продукт"""
Дары природы,marketing,False,,,"ООО ""МОК-производство""","ооо ""мок-производство"""
Дедовский хлеб,marketing,False,,,"ЗАО ""Висьма""","зао ""висьма""|зао ""дедовский хлеб"""
Дедушкин улей,marketing,False,,,"ООО ""МЕДОВЫЙ ДОМ""","ооо ""медовый дом"""
Делба Бакбетриб,manufacturer,False,,,Делба Бакбетриб,delba
Демио,marketing,False,,,RICHETTI SPA,richetti spa
Деревенское Мягкое,marketing,False,,,"ООО ""Петропродукт - Отрадное""","ооо ""петропродукт - отрадное"""
Деревенское Подворье,marketing,False,,,"ЗАО ""Озерецкий молочный комбинат""","зао ""озерецкий молочный комбинат"""
Джаз,marketing,False,,,"ООО ""МОК-производство""","ооо ""мок-производство"""
Джон Дюар энд Санс Лтд. ( John Dewar and Sons Ltd),marketing,False,,,Джон Дюар энд Санс Лтд. ( John Dewar and Sons Ltd),
Дмитровский молочный завод,marketing,False,,дмитровская|дмитровский|дмитровский мз,"ЗАО ""Дмитровский молочный завод""|ОАО ""Дмитровский Молочный Завод""|ООО ""АльтерВЕСТ XXI век""","оао ""дмитровский молочный завод""|ооо ""альтервест xxi век"""
Добрый,marketing,False,,,"ЗАО ""Мултон""|ООО ""Кока-Кола ЭйчБиСи Евразия""|ООО ""Кока-Кола Эйчбиси Евраазия""","зао ""мултон""|ооо ""кока-кола эйчбиси евраазия""|ооо""кока-кола эйчбиси евразия"""
Добрый гном,marketing,False,,,"ООО ""КАРЕ""|ООО ""Каре""|ООО ""Каре"", Россия|ООО""Каре""","ооо ""каре"""
Доктор,marketing,False,,,"ОАО ""Царицыно""","оао ""царицыно"""
Доль Ким,marketing,False,,дольким,"ЗАО ""Пальдо""","зао ""пальдо"""
Домашнее БИСТРО,marketing,False,,дом бистро|дом.бистро|картошечка,"ЗАО ""Си-Проджект""|ЗАО""Си-Проджект""|ООО ""Си-Продукт""","ооо ""си-проджект""|ооо ""си-продукт"""
Домик в деревне,marketing,False,,,"ОАО ""ВБД""|ОАО ""Вимм-Билль-Данн""|ОАО""Вимм-Билль-Данн""|ООО ""ВБД""","оао ""вимм-билль-данн""|ооо ""вбд"""
Донконсервпром,marketing,False,,,"ООО ""Донконсервпром""","ооо ""донконсервпром"""
Донской Орешек,marketing,False,,,"ОАО ""Калининградский тарный комбинат""|ОАО ""Русский рыбный мир""|ООО ""Крепкий Орешек""|ООО ""Ранда""","оао ""калининградский тарный комбинат""|оао ""русский рыбный мир""|ооо ""крепкий орешек""|ооо ""ранда"""
Доширак,marketing,False,,,"ООО ""ДОШИРАК КОЯ""|ООО ""Доширак Рус""|ООО""Доширак Коя""","ооо ""доширак рус""|ооо""доширак коя"""
Дружба,marketing,False,,ростагроэкспорт,ООО «РостАгроКомплекс»,ооо «ростагрокомплекс»
Дугладзе,marketing,False,,,ООО Винная Компания Дугладзе,
ЕВРОДОН,marketing,False,,гву индолина,"ООО ""Евродон"", Россия","ооо ""евродон"", россия"
ЕМ,marketing,False,,,,
ЕМСК,manufacturer,False,,,ЕМСК,galbani
Емродное,marketing,False,,,,
Ессентуки,marketing,False,,,"ООО ""Ессентукский завод минеральных вод на кмв""","ооо ""ессентукский завод минеральных вод на кмв""|ООО ""ВБД"""
Жар-Печка,marketing,False,,,"ЗАО ""Жировой комбинат""","зао ""жировой комбинат"""
"Жинхен фуд Ко., Лтд.",manufacturer,False,,,"Жинхен фуд Ко., Лтд.",midori
Жокей,marketing,False,,,"ООО ""ОРИМИ ТРЕЙД""|ООО""Орими Трэйд""","ооо ""орими трейд""|ооо""орими трэйд"""
Журавли,marketing,False,,,,
"ЗАО ""Азовшелкприз""",manufacturer,False,,азовшелкприз,"ЗАО ""Азовшелкприз""",золотой налив
"ЗАО ""Алексеевский молочноконсервный комбинат""",manufacturer,False,,алексеевский молочноконсервный комбинат,"ЗАО ""Алексеевский молочноконсервный комбинат""",алексеевское|густияр|рисовашка|руслада
"ЗАО ""БРПИ""",manufacturer,False,,baskin robbins|баскин роббинс|брпи,"ЗАО ""БРПИ""",baskin robbins|брпи
"ЗАО ""Балтийский Берег""",manufacturer,False,,балт берег|балтийский берег|бб|по-царски,"ЗАО ""Балтийский Берег""|ЗАО ""Балтийский берег""",балтийский берег|о'кей
"ЗАО ""Белок""",manufacturer,False,,белок,"ЗАО ""Белок""",шугарофф
"ЗАО ""Валдай""",manufacturer,False,,валдай|валдайские,"ЗАО ""Валдай""|ЗАО""Валдай""",валдайский погребок
"ЗАО ""Верховский молочно-консервный завод""",manufacturer,False,,верховский молочно консервный завод|верховский молочно-консервный завод,"ЗАО ""Верховский молочно-консервный завод""",главпродукт|смешная корова
"ЗАО ""Виртекс""",manufacturer,False,,виртекс,"ЗАО ""Виртекс""",костровок|чим чим
"ЗАО ""Висма""",manufacturer,False,,висма,"ЗАО ""Висма""",архыз
"ЗАО ""Висьма""",manufacturer,False,,висьма,"ЗАО ""Висьма""",дедовский хлеб
"ЗАО ""Д-р Оеткер""",manufacturer,False,,д р оеткер|д-р оеткер,"ЗАО ""Д-р Оеткер""|ЗАО ""Д-р Оеткер"", Россия",dr.oetker
"ЗАО ""Дарсил""",manufacturer,False,,дарсил,"ЗАО ""Дарсил""",кинто
"ЗАО ""Дедовский хлеб""",manufacturer,False,,дедовский хлеб,"ЗАО ""Дедовский хлеб""",дедовский хлеб
"ЗАО ""Еремеевское""",manufacturer,False,,еремеевское|фитодар,"ЗАО ""Еремеевское""",русский цикорий|фитодар
"ЗАО ""Жировой комбинат""",manufacturer,False,,жировой комбинат,"ЗАО ""Жировой комбинат""",richard|жар-печка|саратовский
"ЗАО ""Завод стерилизованного молока ""Можайский""""""""""",manufacturer,False,,"завод стерилизованного молока ""можайский|завод стерилизованного молока можайский","ЗАО ""Завод стерилизованного молока ""Можайский""""""""""",можайское
"ЗАО ""ИТА Северная Компания""",manufacturer,False,,ита северная компания|ск,"ЗАО ""ИТА Северная Компания""|ЗАО ""ИТА Северная Компания"", Россия|ЗАО ""ИТА Северная компания""|ЗАО"" ИТА Северная Компания""",gustafsen|о'кей|северная компания
"ЗАО ""Кас-Кад плюс""",manufacturer,False,,кас кад плюс|кас-кад плюс,"ЗАО ""Кас-Кад плюс""",куко марио
"ЗАО ""Кондитерский комбинат ""Озерский сувенир""",manufacturer,False,,"кондитерский комбинат ""озерский сувенир|кондитерский комбинат озерский сувенир","ЗАО ""Кондитерский комбинат ""Озерский сувенир""",о'кей
"ЗАО ""Кореновский  молочно-консервный комбинат""",manufacturer,False,,кореновский  молочно консервный комбинат|кореновский  молочно-консервный комбинат|коровка из кореновки,"ЗАО ""Кореновский  молочно-консервный комбинат""",алексеевское|коровка из кореновки
"ЗАО ""Краснобор"", Россия",manufacturer,False,,краснобор,"ЗАО ""Краснобор"", Россия",краснобор
"ЗАО ""Круг""",manufacturer,False,,круг,"ЗАО ""Круг|ЗАО ""Круг""",тирольские пироги
"ЗАО ""Крюгер-Гранд""",manufacturer,False,,крюгер гранд|крюгер-гранд,"ЗАО ""Крюгер-Гранд""",о'кей
"ЗАО ""Масконти Лтд""",manufacturer,False,,масконти лтд,"ЗАО ""Масконти Лтд""",масконти
"ЗАО ""Микояновский мясокомбинат""",manufacturer,False,,микояновский мясокомбинат,"ЗАО ""МИКОЯНОВСКИЙ МЯСОКОМБИНАТ""|ЗАО ""Микояновский мясокомбинат""",микоян|о'кей|охотный ряд
"ЗАО ""Молочный завод ""Преображенский""",manufacturer,False,,"молочный завод ""преображенский|молочный завод преображенский","ЗАО ""Молочный завод ""Преображенский""",stailon|о'кей|преображенский
"ЗАО ""Московская кофейня на паяхЪ""",manufacturer,False,,московская кофейня на паяхъ,"ЗАО ""Московская кофейня на паяхЪ""|ЗАО ""Московская кофейня на паяхъ"", Россия",московская кофейня на паяхъ
"ЗАО ""Моссельпром"", Россия",manufacturer,False,,моссельпром,"ЗАО ""Моссельпром"", Россия",моссельпром
"ЗАО ""Мултон""",manufacturer,False,,мултон,"ЗАО ""Мултон""",rich|добрый
"ЗАО ""Мясоперерабатывающий завод ""Ступино-Останкино"", Россия",manufacturer,False,,"мясоперерабатывающий завод ""ступино-останкино|мясоперерабатывающий завод ступино останкино|мясоперерабатывающий завод ступино-останкино","ЗАО ""Мясоперерабатывающий завод ""Ступино-Останкино"", Россия",остаnкино
"ЗАО ""Науясис Невежис""",manufacturer,False,,науясис невежис,"ЗАО ""Науясис Невежис""",ого!
"ЗАО ""ОРЕХПРОМ""",manufacturer,False,,орехпром,"ЗАО ""ОРЕХПРОМ""|ЗАО""ОРЕХПРОМ""",золотая жменька|о'кей|твердый знак|те самые
"ЗАО ""Озерецкий молочный комбинат""",manufacturer,False,,озерецкий молочный комбинат,"ЗАО ""Озерецкий молочный комбинат""",альпийская коровка|деревенское подворье|новая деревня|экомилк
"ЗАО ""Орелпродукт""",manufacturer,False,,орелпродукт,"ЗАО ""Орелпродукт""",главпродукт|мастер шеф|семейный бюджет
"ЗАО ""Останкинский завод бараночных изделий""",manufacturer,False,,останкинский завод бараночных изделий,"ЗАО ""Останкинский завод бараночных изделий""",о'кей
"ЗАО ""Охтинское""",manufacturer,False,,охтинское,"ЗАО ""Охтинское""",аладушкин
"ЗАО ""Пальдо""",manufacturer,False,,пальдо,"ЗАО ""Пальдо""",доль ким
"ЗАО ""Первый Комбинат Детского и Диетического Питания""",manufacturer,False,,первый комбинат детского и диетического питания,"ЗАО ""Первый Комбинат Детского и Диетического Питания""|ЗАО ""Первый комбинат детского и диетического питания""",здоровей
"ЗАО ""Петелинская птицефабрика"", Россия",manufacturer,False,,петелинская птицефабрика,"ЗАО ""Петелинская птицефабрика"", Россия",петелино
"ЗАО ""Пищеваой комбинат ""Линфас""",manufacturer,False,,"пищеваой комбинат ""линфас|пищеваой комбинат линфас","ЗАО ""Пищеваой комбинат ""Линфас""",виталад
"ЗАО ""Пищевой комбинат ""Азовский""",manufacturer,False,,"пищевой комбинат ""азовский|пищевой комбинат азовский","ЗАО ""Пищевой комбинат ""Азовский""",о'кей
"ЗАО ""Приосколье"", Россия",manufacturer,False,,гву приосколье|приосколье,"ЗАО ""Приосколье""|ЗАО ""Приосколье"", Россия",приосколье
"ЗАО ""Русская рыбная компания"", Россия",manufacturer,False,,ррк|русская рыбная компания,"ЗАО ""Русская рыбная компания"", Россия",
"ЗАО ""Русский бисквит""",manufacturer,False,,русский бисквит,"ЗАО ""Русский бисквит""",русский бисквит
"ЗАО ""Русское море""",manufacturer,False,,русское море,"ЗАО ""Русское море""|ОАО ""Русское море""|ООО ""Морозко""|РУССКОЕ МОРЕ|Русское море|СП ""Санта Бремор""","зао ""русское море""|ооо ""морозко""|русское море|санта-бремор|сп ""санта бремор"""
"ЗАО ""Рыбный Двор""",manufacturer,False,,рыбный двор,"ЗАО ""Рыбный Двор""|ООО ""Рыбный двор""",рыбный двор
"ЗАО ""Рыбокомбинат Донской""",manufacturer,False,,рыбокомбинат донской,"ЗАО ""Рыбокомбинат Донской""",дальпико
"ЗАО ""СК Короча"", Россия",manufacturer,False,,ск короча,"ЗАО ""СК Короча"", Россия",мираторг
"ЗАО ""СК Корочка""",manufacturer,False,,ск корочка,"ЗАО ""СК Корочка""|ЗАО ""СК Корочка"", Россия",мираторг
"ЗАО ""Санкт-Петербургский сахарный завод""",manufacturer,False,,санкт петербургский сахарный завод|санкт-петербургский сахарный завод,"ЗАО ""Санкт-Петербургский сахарный завод""|ЗАО ""Санкт-Петербургский сахарный завод"", Россия",вестов|невский
"ЗАО ""Северо-западная чайная компания""",manufacturer,False,,северо западная чайная компания|северо-западная чайная компания,"ЗАО ""Северо-западная чайная компания""",о'кей
"ЗАО ""СевероВосточная компания""",manufacturer,False,,plesk|северовосточная компания,"ЗАО ""СевероВосточная компания""|ЗАО ""СевероВосточная компания"", Россия",norf|тунгутун
"ЗАО ""Скан-Нева""",manufacturer,False,,скан нева|скан-нева,"ЗАО ""Скан-Нева""",
"ЗАО ""Солнце Мехико""",manufacturer,False,,солнце мехико,"ЗАО ""Солнце Мехико""",delicados
"ЗАО ""Стимул""",manufacturer,False,,стимул,"ЗАО ""Стимул""",fitogu.ru
"ЗАО ""Торговый Дом ""Уральский продукт""",manufacturer,False,,"торговый дом ""уральский продукт|торговый дом уральский продукт","ЗАО ""Торговый Дом ""Уральский продукт""",рыбоведовъ
"ЗАО ""УМАЛАТ""",manufacturer,False,,умалат,"ЗАО ""УМАЛАТ""",умалат
"ЗАО ""ФЕРРЕРО РУССИЯ""",manufacturer,False,,киндер|ферреро руссия,"ЗАО ""ФЕРРЕРО РУССИЯ""",kinder
"ЗАО ""Фирма Невская Сушка""",manufacturer,False,,невская сушка,"ЗАО ""Фирма Невская Сушка""",каравай
"ЗАО ""ХАМЕ ФУДС""",manufacturer,False,,хаме фудс,"ЗАО ""ХАМЕ ФУДС""",hame
"ЗАО ""Черока"", Россия",manufacturer,False,,черока,"ЗАО ""Черока"", Россия",черока
"ЗАО ""Эссен Продакшн АГ""",manufacturer,False,,эссен продакшн аг,"ЗАО ""Эссен Продакшн АГ""",махеевъ
"ЗАО ""Юроп Фудс ГБ""",manufacturer,False,,юроп фудс гб,"ЗАО ""Юроп Фудс ГБ""",gallina blanca
"ЗАО БКК ""Коломенский""",manufacturer,False,,"бкк ""коломенский|бкк коломенский|коломенский|ломайка","ЗАО БКК ""Коломенский""",бутер хлеб|коломенское|ломайка|моё обожание|ржаной край
"ЗАО ГК ""Море Байкал""",manufacturer,False,,"гк ""море байкал|гк море байкал","ЗАО ГК ""Море Байкал""",baikal reserve
"ЗАО Компания ""Май""",manufacturer,False,,"компания ""май|компания май","ЗАО Компания ""Май""",curtis|лисма|майский
"ЗАО Консервный завод ""Поречский""",manufacturer,False,,"консервный завод ""поречский|консервный завод поречский","ЗАО Консервный завод ""Поречский""",baleno
"ЗАО МПБК ""Очаково""",manufacturer,False,,"мпбк ""очаково|мпбк очаково","ЗАО МПБК ""Очаково""",очаково|очаковский
"ЗАО ПРДП ""Преображенский рыбокомбинат""",manufacturer,False,,"прдп ""преображенский рыбокомбинат|прдп преображенский рыбокомбинат","ЗАО ПРДП ""Преображенский рыбокомбинат""",зао прдп приображенский рыбокомбинат
ЗАО ПРДП Приображенский рыбокомбинат,marketing,False,,,"ЗАО ПРДП ""Преображенский рыбокомбинат""","зао прдп ""преображенский рыбокомбинат"""
